date,vaccine,vaccination_status,entries,sumTotal,pop,inz_entries,inzsumTotal,mean7d,inzmean7d,prct,prctSumTotal,prct_mean7d,geoRegion,type,type_variant,data_completeness,version
2021-05-10,moderna,fully_vaccinated,0,1,586019,0,NA,0,0,0,1.06,NA,CHFL,COVID19Death,vaccine,limited,2021-12-03_07-52-50
2021-05-11,moderna,fully_vaccinated,0,1,605549,0,NA,0,0,NA,1.06,NA,CHFL,COVID19Death,vaccine,limited,2021-12-03_07-52-50
2021-05-12,moderna,fully_vaccinated,0,1,626157,0,NA,0,0,NA,1.06,NA,CHFL,COVID19Death,vaccine,limited,2021-12-03_07-52-50
2021-05-13,moderna,fully_vaccinated,0,1,632938,0,NA,0,0,NA,1.06,NA,CHFL,COVID19Death,vaccine,limited,2021-12-03_07-52-50
2021-05-14,moderna,fully_vaccinated,0,1,652637,0,NA,0,0,NA,1.06,NA,CHFL,COVID19Death,vaccine,limited,2021-12-03_07-52-50
2021-05-15,moderna,fully_vaccinated,0,1,661857,0,NA,0,0,NA,1.06,NA,CHFL,COVID19Death,vaccine,limited,2021-12-03_07-52-50
2021-05-16,moderna,fully_vaccinated,0,1,663663,0,NA,0,0,0,1.05,NA,CHFL,COVID19Death,vaccine,limited,2021-12-03_07-52-50
2021-05-17,moderna,fully_vaccinated,0,1,683287,0,NA,0,0,NA,1.05,NA,CHFL,COVID19Death,vaccine,limited,2021-12-03_07-52-50
2021-05-18,moderna,fully_vaccinated,0,1,707370,0,NA,0,0,NA,1.05,NA,CHFL,COVID19Death,vaccine,limited,2021-12-03_07-52-50
2021-05-19,moderna,fully_vaccinated,0,1,730658,0,NA,0,0,NA,1.05,NA,CHFL,COVID19Death,vaccine,limited,2021-12-03_07-52-50
2021-05-20,moderna,fully_vaccinated,0,1,759585,0,NA,0,0,NA,1.05,NA,CHFL,COVID19Death,vaccine,limited,2021-12-03_07-52-50
2021-05-21,moderna,fully_vaccinated,0,1,784256,0,NA,0,0,NA,1.05,NA,CHFL,COVID19Death,vaccine,limited,2021-12-03_07-52-50
2021-05-22,moderna,fully_vaccinated,0,1,795730,0,NA,0,0,NA,1.05,NA,CHFL,COVID19Death,vaccine,limited,2021-12-03_07-52-50
2021-05-23,moderna,fully_vaccinated,0,1,800196,0,NA,0,0,0,1.04,NA,CHFL,COVID19Death,vaccine,limited,2021-12-03_07-52-50
2021-05-24,moderna,fully_vaccinated,0,1,808734,0,NA,0,0,NA,1.04,NA,CHFL,COVID19Death,vaccine,limited,2021-12-03_07-52-50
2021-05-25,moderna,fully_vaccinated,0,1,833759,0,NA,0,0,0,1.03,NA,CHFL,COVID19Death,vaccine,limited,2021-12-03_07-52-50
2021-05-26,moderna,fully_vaccinated,0,1,860019,0,NA,0.14,0.02,NA,1.03,NA,CHFL,COVID19Death,vaccine,limited,2021-12-03_07-52-50
2021-05-27,moderna,fully_vaccinated,0,1,888500,0,NA,0.14,0.02,NA,1.03,NA,CHFL,COVID19Death,vaccine,limited,2021-12-03_07-52-50
