geoRegion,datum,entries,entries_pos,entries_neg,sumTotal,freq,prct,anteil_pos,anteil_pos_diff,anteil_pos_all,pop,inz_entries,inzsumTotal,entries_diff_abs,entries_diff_inz,prct_diff,entries_diff_pct,type,version,datum_unit,datum_dboardformated,timeframe_all,timeframe_phase2,timeframe_phase2b,timeframe_phase3,timeframe_phase4,timeframe_phase5,timeframe_28d,timeframe_14d,nachweismethode,type_variant
CH02,202101,23334,3529,19805,595552,1,100,15.1,-1.799999999999999,14.9,1895693,1230.9,31416.06,3044,160.58,0,15,COVID19Test,2021-12-02_07-48-44,isoweek,2021-01,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,PCR,
CH03,202101,17242,2330,14912,403593,1,100,13.5,-3.6000000000000014,11,1181776,1458.99,34151.4,2017,170.67,0,13.2,COVID19Test,2021-12-02_07-48-44,isoweek,2021-01,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,PCR,
CH04,202101,21398,3542,17856,614425,1,100,16.6,-1.7999999999999972,10.9,1553423,1377.47,39552.97,1405,90.44,0,7,COVID19Test,2021-12-02_07-48-44,isoweek,2021-01,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,PCR,
CH05,202101,15392,2791,12601,343074,1,100,18.1,-4,14.5,1193069,1290.12,28755.59,3638,304.93,0,31,COVID19Test,2021-12-02_07-48-44,isoweek,2021-01,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,PCR,
CH06,202101,9845,2131,7714,238282,1,100,21.6,-1.3999999999999986,14,825745,1192.26,28856.61,1437,174.03,0,17.1,COVID19Test,2021-12-02_07-48-44,isoweek,2021-01,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,PCR,
CH07,202101,7374,1185,6189,138505,1,100,16.1,-6.699999999999999,16.1,350986,2100.94,39461.69,775,220.81,0,11.7,COVID19Test,2021-12-02_07-48-44,isoweek,2021-01,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,PCR,
CH01,202102,8581,1096,7485,91508,1,100,12.8,-2,14.8,1669608,513.95,5480.81,-1835,-109.91,0,-17.6,COVID19Test,2021-12-02_07-48-44,isoweek,2021-02,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Antigen_Schnelltest,
CH02,202102,7431,727,6704,86116,1,100,9.8,-2,12.3,1895693,391.99,4542.72,-1419,-74.86,0,-16,COVID19Test,2021-12-02_07-48-44,isoweek,2021-02,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Antigen_Schnelltest,
CH03,202102,4177,421,3756,41346,1,100,10.1,-2.4000000000000004,17.2,1181776,353.45,3498.63,-689,-58.3,0,-14.2,COVID19Test,2021-12-02_07-48-44,isoweek,2021-02,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Antigen_Schnelltest,
CH04,202102,8533,741,7792,105804,1,100,8.7,-2.1000000000000014,11.8,1553423,549.3,6811.02,-1172,-75.45,0,-12.1,COVID19Test,2021-12-02_07-48-44,isoweek,2021-02,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Antigen_Schnelltest,
CH05,202102,6312,647,5665,82575,1,100,10.3,-4,13,1193069,529.06,6921.23,-1230,-103.09,0,-16.3,COVID19Test,2021-12-02_07-48-44,isoweek,2021-02,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Antigen_Schnelltest,
CH06,202102,3761,426,3335,31201,1,100,11.3,-2.299999999999999,13.6,825745,455.47,3778.53,-261,-31.61,0,-6.5,COVID19Test,2021-12-02_07-48-44,isoweek,2021-02,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Antigen_Schnelltest,
CH07,202102,1148,52,1096,10426,1,100,4.5,-6.800000000000001,13.8,350986,327.08,2970.49,-75,-21.37,0,-6.1,COVID19Test,2021-12-02_07-48-44,isoweek,2021-02,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Antigen_Schnelltest,
CH01,202102,24660,2397,22263,771276,1,100,9.7,-0.40000000000000036,15.7,1669608,1476.99,46195.04,-638,-38.22,0,-2.5,COVID19Test,2021-12-02_07-48-44,isoweek,2021-02,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,PCR,
CH02,202102,21403,2508,18895,616955,1,100,11.7,-3.4000000000000004,14.8,1895693,1129.03,32545.09,-1931,-101.87,0,-8.3,COVID19Test,2021-12-02_07-48-44,isoweek,2021-02,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,PCR,
CH03,202102,15250,1663,13587,418843,1,100,10.9,-2.5999999999999996,11,1181776,1290.43,35441.83,-1992,-168.56,0,-11.6,COVID19Test,2021-12-02_07-48-44,isoweek,2021-02,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,PCR,
CH04,202102,17884,2252,15632,632309,1,100,12.6,-4.000000000000002,11,1553423,1151.26,40704.24,-3514,-226.21,0,-16.4,COVID19Test,2021-12-02_07-48-44,isoweek,2021-02,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,PCR,
CH05,202102,12183,1664,10519,355257,1,100,13.7,-4.400000000000002,14.5,1193069,1021.15,29776.74,-3209,-268.97,0,-20.8,COVID19Test,2021-12-02_07-48-44,isoweek,2021-02,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,PCR,
CH06,202102,8983,1568,7415,247265,1,100,17.5,-4.100000000000001,14.1,825745,1087.87,29944.47,-862,-104.39,0,-8.8,COVID19Test,2021-12-02_07-48-44,isoweek,2021-02,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,PCR,
CH07,202102,6311,702,5609,144816,1,100,11.1,-5.000000000000002,15.9,350986,1798.08,41259.77,-1063,-302.86,0,-14.4,COVID19Test,2021-12-02_07-48-44,isoweek,2021-02,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,PCR,
CH01,202103,9470,1057,8413,100978,1,100,11.2,-1.6000000000000014,14.5,1669608,567.2,6048.01,889,53.25,0,10.4,COVID19Test,2021-12-02_07-48-44,isoweek,2021-03,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Antigen_Schnelltest,
CH02,202103,8646,686,7960,94762,1,100,7.9,-1.9000000000000004,11.9,1895693,456.09,4998.81,1215,64.1,0,16.4,COVID19Test,2021-12-02_07-48-44,isoweek,2021-03,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Antigen_Schnelltest,
CH03,202103,4677,403,4274,46023,1,100,8.6,-1.5,16.3,1181776,395.76,3894.39,500,42.31,0,12,COVID19Test,2021-12-02_07-48-44,isoweek,2021-03,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Antigen_Schnelltest,
